id_clase,id_estudiante,nro_clase_semana,pos_x,pos_y
HU318-SEC8-2025S2,U202400001,1,1,1
AF140-SEC1-2025S2,U202400001,1,1,1
MA460-SEC5-2025S2,U202400001,1,1,1
MA461-SEC4-2025S2,U202400001,1,1,1
HU626-SEC4-2025S2,U202400001,1,1,1
CY999-SEC10-2025S2,U201900002,1,1,1
AN86-SEC3-2025S2,U201900002,1,1,1
CA160-SEC6-2025S2,U201900002,1,1,1
II999-SEC2-2025S2,U201900002,1,1,1
MA461-SEC1-2025S2,U202400003,1,1,1
HU318-SEC3-2025S2,U202400003,1,1,1
IS203-SEC3-2025S2,U202400003,1,1,1
IS305-SEC10-2025S2,U202400003,1,1,1
HU626-SEC6-2025S2,U202400003,1,1,1
MA459-SEC3-2025S2,U202400003,1,1,1
CA143-SEC2-2025S2,U202300004,1,1,1
AN20-SEC1-2025S2,U202300004,1,1,1
AN22-SEC3-2025S2,U202300004,1,1,1
MA461-SEC6-2025S2,U202300004,1,1,1
PS210-SEC5-2025S2,U202300004,1,1,1
CE999-SEC6-2025S2,U201700005,1,1,1
AM230-SEC5-2025S2,U201700005,1,1,1
II999-SEC4-2025S2,U201700005,1,1,1
AF212-SEC5-2025S2,U201700005,1,1,1
AD2461-SEC3-2025S2,U201700005,1,1,1
AN85-SEC4-2025S2,U201700005,1,1,1
CA160-SEC5-2025S2,U201700006,1,1,1
IC999-SEC1-2025S2,U201700006,1,1,1
EY999-SEC5-2025S2,U201700006,1,1,1
AN81-SEC3-2025S2,U201700006,1,1,1
MA460-SEC7-2025S2,U202500007,1,1,1
CO19-SEC5-2025S2,U202500007,1,1,1
HU625-SEC10-2025S2,U202500007,1,1,1
CA142-SEC4-2025S2,U202500007,1,1,1
CY301-SEC1-2025S2,U202500007,1,1,1
PE999-SEC4-2025S2,U201800008,1,1,1
ID999-SEC10-2025S2,U201800008,1,1,1
AD2507-SEC5-2025S2,U201800008,1,1,1
AN85-SEC1-2025S2,U201800008,1,1,1
IC999-SEC6-2025S2,U201800008,1,1,1
IC999-SEC3-2025S2,U201800009,1,1,1
AN81-SEC1-2025S2,U201800009,1,1,1
ID999-SEC7-2025S2,U201800009,1,1,1
AN86-SEC1-2025S2,U201800009,1,1,1
CA160-SEC2-2025S2,U202100010,1,1,1
RI999-SEC3-2025S2,U202100010,1,1,1
D999-SEC3-2025S2,U202100010,1,1,1
AF212-SEC2-2025S2,U202100010,1,1,1
AD213-SEC1-2025S2,U202100010,1,1,1
AF212-SEC2-2025S2,U201800011,1,2,1
AN86-SEC5-2025S2,U201800011,1,1,1
CA999-SEC5-2025S2,U201800011,1,1,1
AM230-SEC5-2025S2,U201800011,1,2,1
AD2507-SEC3-2025S2,U201800011,1,1,1
AF212-SEC5-2025S2,U202000012,1,2,1
CA999-SEC3-2025S2,U202000012,1,1,1
EY999-SEC3-2025S2,U202000012,1,1,1
CE999-SEC5-2025S2,U202000012,1,1,1
IC999-SEC6-2025S2,U202000012,1,2,1
AN81-SEC4-2025S2,U202000012,1,1,1
MA460-SEC4-2025S2,U202300013,1,1,1
